pimTarget,label,layer,pimClass,kind,pimAccepts,existingCodes,foAttributeName,foExampleValue,foSendsCodeOrLabel,notes
"productGroupAttributes › screw_drawing_basic_group › kl_dShank","Dshank (Ds)",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"productGroupAttributes › screw_drawing_basic_group › kl_headDk","Head Diameter (Dk)",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"productGroupAttributes › screw_drawing_basic_group › kl_headK","Head Height (K)",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"productGroupAttributes › screw_drawing_basic_group › kl_driveSize","Drive Size",productGroup,PtScrew,select,"one of the allowed values in the next column","TX10, TX15, TX20, TX25, TX27, TX30, TX35, TX40, HX¼, HX8, HX10, HX13, PH1, PH2, PH3, PZ1, PZ2, PZ3, SQ1, SQ2, SQ3",,,,
"productGroupAttributes › screw_drawing_metric_group › kl_dMajorMm","Dmajor (D) mm",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"METRIC group. An imperial twin exists — PIM must know which system the item uses. Needs value and unit split out."
"productGroupAttributes › screw_drawing_metric_group › kl_pitchMm","Pitch (p) mm",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"METRIC group. An imperial twin exists — PIM must know which system the item uses. Needs value and unit split out."
"productGroupAttributes › screw_drawing_imperial_group › kl_dMajorImp","Dmajor (D)",productGroup,PtScrew,input,"free text",,,,,"IMPERIAL group. A metric twin exists — PIM must know which system the item uses."
"productGroupAttributes › screw_drawing_imperial_group › kl_pitchTpi","Pitch (p) TPI",productGroup,PtScrew,input,"free text",,,,,"IMPERIAL group. A metric twin exists — PIM must know which system the item uses."
"productGroupAttributes › screw_drawing_drillpoint_group › kl_drillDd","Drill Point Diameter (Dd)",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"productGroupAttributes › screw_drawing_drillpoint_group › kl_drillDl","Drill Point Length (Dl)",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"productGroupAttributes › screw_drawing_drillcap_group › kl_drillCap","Drill Cap from",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"productGroupAttributes › screw_drawing_drillcap_group › kl_drillCapTo","Drill Cap to",productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"masterAttributes › screw_productmaster_group › kl_lef","Effective Length (Lef)",master,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"masterAttributes › screw_productmaster_group › kl_saltspray","Saltspray hours",master,PtScrew,select,"one of the allowed values in the next column","200, 500, 700, 1000, 1500",,,,
"masterAttributes › screw_productmaster_metric_group › kl_lengthMm","Length (L) mm",master,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"METRIC group. An imperial twin exists — PIM must know which system the item uses. Needs value and unit split out."
"masterAttributes › screw_productmaster_metric_group › kl_l1Mm","Partial Length (L1) mm",master,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"METRIC group. An imperial twin exists — PIM must know which system the item uses. Needs value and unit split out."
"masterAttributes › screw_productmaster_imperial_group › kl_lengthImp","Length (L)",master,PtScrew,input,"free text",,,,,"IMPERIAL group. A metric twin exists — PIM must know which system the item uses."
"masterAttributes › screw_productmaster_imperial_group › kl_l1Imp","Partial Length (L1)",master,PtScrew,input,"free text",,,,,"IMPERIAL group. A metric twin exists — PIM must know which system the item uses."
washerKind,"Washer kind",series,PtWasher,"relation (one)","PtWasherKind object, matched on its `code`","Bonded-EPDM (Bonded EPDM)",,,,"F&O sends a word; PIM must resolve it to a PtWasherKind object. Unknown word = no value written."
"rangeAttributes › kl-09-core › kl_innerDia","Inner diameter",range,PtWasher,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"rangeAttributes › kl-09-core › kl_outerDia","Outer diameter",range,PtWasher,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
"rangeAttributes › kl-09-core › kl_thickness",Thickness,range,PtWasher,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
